Laptop Brand,RAM_GB,Storage,Extracted Processor,Conditions,Prices,Regions,Cluster
3,16.0,1,2,2,6350,4,1
2,16.0,1,1,2,3600,4,1
3,4.0,1,1,2,1500,4,1
3,8.0,1,1,2,3000,2,1
3,16.0,1,2,0,17500,4,2
4,8.0,0,1,2,1400,4,0
4,8.0,1,1,2,2700,4,1
3,8.0,1,2,2,3200,4,1
3,8.0,1,1,0,12500,4,2
2,8.0,0,2,2,3200,4,0
5,16.0,1,2,2,7500,4,1
5,4.0,1,1,2,3350,4,1
2,4.0,0,0,2,1850,4,0
2,8.0,1,1,2,3700,0,1
2,8.0,1,2,2,3800,4,1
3,8.0,0,1,2,1250,4,0
3,4.0,0,0,0,7500,4,0
2,8.0,1,1,2,2500,0,1
2,8.0,1,1,2,3050,4,1
4,8.0,1,1,0,4950,0,2
2,8.0,0,1,2,3100,4,0
0,16.0,1,2,2,11500,4,2
3,8.0,1,1,2,3200,4,1
2,8.0,0,1,2,2150,4,0
3,16.0,1,2,2,6600,4,1
2,8.0,1,1,0,3350,4,2
3,8.0,1,1,2,3000,4,1
2,8.0,1,0,2,1700,4,1
4,8.0,1,1,2,3950,0,1
4,16.0,1,2,0,19500,4,2
3,12.0,1,1,0,11500,4,2
2,16.0,1,2,2,11000,4,1
4,8.0,1,2,2,3650,4,1
5,16.0,1,1,2,9000,4,1
4,8.0,1,1,2,5700,4,1
2,16.0,0,2,0,4850,4,2
3,8.0,1,1,2,5100,4,1
4,8.0,0,1,2,2750,4,0
5,8.0,1,1,2,3500,0,1
5,16.0,0,2,2,8400,4,1
3,4.0,0,0,1,1800,4,0
2,8.0,1,2,2,3600,4,1
2,12.0,1,2,2,4000,4,1
0,4.0,0,0,0,1500,0,0
3,8.0,0,0,2,1450,4,0
0,8.0,1,0,0,4400,4,2
2,8.0,1,1,2,4200,4,1
3,4.0,0,0,0,6700,4,0
4,8.0,0,1,2,2000,0,0
3,8.0,0,1,2,3600,4,0
1,4.0,0,2,2,1500,4,0
0,4.0,1,0,2,1799,2,0
1,16.0,1,2,0,13500,0,2
2,16.0,0,2,2,1950,4,0
3,16.0,1,2,0,13999,4,2
3,8.0,1,0,2,3199,6,1
3,8.0,0,0,1,1800,4,0
3,16.0,1,1,2,3880,4,1
0,8.0,0,2,2,1800,4,0
2,8.0,1,2,1,5200,4,1
4,8.0,1,1,2,3500,0,1
3,8.0,1,0,0,4450,0,2
3,16.0,1,1,0,13500,4,2
3,8.0,1,1,2,4200,4,1
2,8.0,0,1,2,850,4,0
0,8.0,1,1,0,10000,4,2
3,16.0,1,1,1,2800,4,1
5,8.0,1,0,2,8000,4,1
1,16.0,1,2,0,11500,4,2
5,16.0,1,3,2,13500,0,1
2,12.0,1,2,0,3700,0,2
4,16.0,1,1,2,4300,4,1
4,8.0,0,1,2,1850,4,0
3,8.0,1,1,0,11000,4,2
3,16.0,1,2,2,8000,4,1
4,6.0,0,0,2,1350,4,0
3,8.0,1,1,2,4500,4,1
4,4.0,0,0,2,2200,4,0
2,16.0,1,2,0,12199,4,2
3,8.0,0,1,2,3800,4,0
4,12.0,1,2,0,10000,4,2
3,16.0,1,2,2,10000,0,1
2,8.0,1,1,0,11000,4,2
5,4.0,1,1,2,1950,4,1
2,12.0,1,1,2,4500,4,1
3,16.0,1,2,2,6800,4,1
4,8.0,1,1,0,2650,0,2
2,8.0,1,1,2,5100,4,1
3,8.0,0,1,2,2400,4,0
3,4.0,0,1,2,1690,4,0
1,16.0,1,2,2,8500,4,1
5,4.0,1,1,2,2600,4,1
3,8.0,1,2,1,2700,0,1
2,4.0,0,0,2,1600,3,0
4,8.0,1,1,2,3500,4,1
2,8.0,0,0,2,2200,4,0
0,4.0,0,0,2,1700,2,0
5,8.0,1,2,2,4000,4,1
2,8.0,1,2,2,4400,4,1
2,8.0,0,1,2,2350,4,0
3,8.0,1,1,2,2400,4,1
2,8.0,1,2,2,4200,0,1
3,8.0,0,1,2,3900,0,0
4,4.0,1,1,2,1300,4,1
3,16.0,1,2,2,5900,4,1
0,16.0,1,1,2,6350,4,1
2,8.0,0,1,2,1350,4,0
3,8.0,1,2,0,9000,4,2
3,4.0,0,0,2,1900,4,0
3,16.0,1,2,2,8700,4,1
3,8.0,0,2,2,2000,0,0
2,8.0,1,1,2,3400,4,1
5,8.0,0,1,1,2100,0,0
2,8.0,1,1,2,2700,4,1
2,8.0,1,1,2,5700,4,1
2,4.0,0,0,2,1200,4,0
4,8.0,1,2,2,4300,0,1
3,16.0,0,2,2,3699,6,0
5,8.0,1,1,2,4500,4,1
3,8.0,1,1,0,10800,4,2
3,8.0,1,2,2,6500,0,1
2,4.0,0,0,2,3000,0,0
1,32.0,1,3,0,13999,4,2
5,6.0,0,1,2,2400,4,0
3,4.0,0,0,0,6200,4,0
2,8.0,1,2,2,5000,4,1
2,8.0,0,2,2,2900,4,0
0,6.0,0,0,2,1300,4,0
2,16.0,1,2,2,5100,4,1
3,8.0,1,2,2,2450,4,1
3,8.0,0,0,2,2200,4,0
2,8.0,1,1,0,8900,4,2
3,8.0,1,1,0,4500,4,2
2,16.0,1,2,0,18000,4,2
2,16.0,1,2,2,5500,4,1
2,8.0,1,1,2,2700,4,1
2,8.0,0,2,2,2850,4,0
2,4.0,0,1,2,2000,6,0
3,8.0,1,1,0,7838,6,2
3,32.0,1,2,2,9900,4,1
3,8.0,0,1,0,3699,6,0
3,4.0,0,1,2,3000,4,0
3,8.0,1,2,2,2800,4,1
2,6.0,0,2,2,1550,4,0
4,8.0,1,1,2,4000,4,1
3,8.0,1,1,2,3399,2,1
2,8.0,0,1,2,2000,4,0
3,16.0,1,2,2,6000,4,1
3,8.0,1,1,0,8499,4,2
3,8.0,1,1,0,2800,4,2
3,8.0,1,1,0,9400,4,2
3,4.0,0,1,2,1000,0,0
3,8.0,0,1,2,3500,4,0
5,16.0,1,2,2,5500,4,1
2,8.0,1,1,0,7299,4,2
3,8.0,1,0,2,2600,4,1
2,8.0,1,1,2,2950,4,1
2,16.0,1,1,2,10000,4,1
3,8.0,1,1,2,4799,4,1
2,16.0,1,2,0,10999,4,2
2,8.0,1,1,2,4799,4,1
4,8.0,0,1,2,1900,4,0
4,8.0,0,0,2,4000,4,0
2,8.0,1,1,2,3200,4,1
4,8.0,1,1,2,4500,4,1
3,16.0,1,2,2,4150,2,1
3,4.0,0,0,0,6799,4,0
4,4.0,0,0,2,800,2,0
2,8.0,1,2,2,6300,4,1
4,8.0,0,1,2,1800,4,0
4,8.0,1,1,2,2750,4,1
4,16.0,1,2,2,5000,4,1
3,16.0,1,1,0,9700,4,2
2,8.0,1,1,0,6050,4,2
3,4.0,0,1,2,2000,4,0
3,16.0,1,2,0,10800,4,2
4,8.0,1,1,2,3000,4,1
2,4.0,1,1,2,2100,6,1
2,8.0,1,1,2,2850,4,1
2,16.0,1,1,0,11300,0,2
0,4.0,0,0,2,1450,0,0
3,8.0,0,1,2,1250,4,0
2,8.0,1,2,0,3500,4,2
3,8.0,1,1,0,3600,0,2
3,16.0,1,1,0,10000,4,2
4,8.0,1,1,2,1600,4,1
3,8.0,0,1,2,2550,1,0
2,16.0,1,1,0,12000,0,2
1,4.0,0,0,2,1100,0,0
5,32.0,1,1,2,9399,4,1
3,12.0,1,2,2,4200,4,1
3,4.0,0,0,2,2350,4,0
5,8.0,1,1,2,8800,4,1
3,8.0,1,1,2,2799,4,1
4,8.0,1,1,2,1950,0,1
2,16.0,0,2,2,2550,4,0
3,8.0,1,2,1,3400,0,1
3,8.0,1,2,2,5500,4,1
3,8.0,1,1,0,9850,4,2
2,8.0,0,2,2,1350,4,0
2,4.0,0,1,2,2250,6,0
2,16.0,1,1,0,7000,4,2
3,256.0,1,1,2,2500,4,2
3,16.0,1,2,0,10500,0,2
3,8.0,1,2,0,4700,4,2
2,8.0,0,1,2,3200,4,0
4,8.0,1,1,2,2800,0,1
2,4.0,0,1,2,900,4,0
2,4.0,0,0,2,2150,4,0
3,8.0,1,1,2,4000,4,1
2,16.0,1,1,2,1600,4,1
3,8.0,0,1,2,2590,4,0
4,4.0,0,1,1,1800,4,0
3,8.0,1,1,2,2600,4,1
2,8.0,0,1,0,7950,0,2
3,8.0,1,1,2,3480,4,1
3,8.0,1,1,2,3500,4,1
3,16.0,1,2,2,4500,4,1
3,4.0,0,1,2,1200,0,0
3,8.0,0,2,2,3250,4,0
3,4.0,0,0,0,1900,4,0
4,20.0,1,2,2,4000,4,1
3,8.0,1,2,0,15000,4,2
4,24.0,1,2,2,7700,4,1
3,8.0,1,2,2,6000,4,1
2,4.0,0,2,2,1300,4,0
0,16.0,1,2,0,8499,4,2
2,16.0,1,2,2,3400,4,1
1,8.0,0,2,2,3500,4,0
1,4.0,0,0,2,1699,4,0
2,8.0,0,1,2,1750,0,0
2,8.0,1,2,2,3800,4,1
2,8.0,0,1,2,1950,0,0
4,16.0,1,2,2,8500,4,1
3,8.0,1,1,2,3700,4,1
4,8.0,1,1,2,4999,4,1
4,4.0,0,1,2,850,4,0
4,8.0,1,1,2,7000,4,1
2,8.0,0,1,2,800,0,0
3,12.0,1,1,0,10800,4,2
3,8.0,1,2,2,5200,4,1
2,8.0,0,1,2,2299,6,0
3,8.0,1,1,0,10500,4,2
3,8.0,1,2,2,3000,4,1
3,8.0,1,1,0,6000,4,2
3,4.0,0,0,0,8992,4,2
3,8.0,1,1,2,3500,4,1
3,8.0,1,1,2,4400,4,1
3,8.0,1,1,0,8000,4,2
3,8.0,1,1,2,3299,4,1
3,16.0,1,2,2,7500,4,1
3,8.0,1,1,0,7500,4,2
2,8.0,1,1,2,2500,0,1
2,8.0,1,1,0,11000,4,2
2,8.0,1,1,2,3000,4,1
4,16.0,1,1,0,7999,4,2
2,4.0,0,0,2,1800,4,0
1,8.0,0,2,2,2150,4,0
3,8.0,1,1,0,3890,4,2
2,8.0,0,1,2,3500,4,0
3,8.0,1,2,2,5000,4,1
3,8.0,1,1,2,2500,4,1
3,8.0,0,1,2,1300,4,0
3,16.0,1,2,2,4900,4,1
2,8.0,1,1,2,2399,4,1
2,16.0,1,2,2,7500,4,1
3,8.0,0,1,2,799,4,0
1,16.0,1,2,2,7000,4,1
4,8.0,1,1,2,4750,4,1
2,8.0,1,1,2,5000,4,1
2,8.0,0,1,2,1250,4,0
2,8.0,1,1,1,2300,0,1
2,8.0,0,1,2,2700,0,0
5,8.0,1,1,2,3900,4,1
3,8.0,1,1,2,2990,4,1
3,24.0,1,2,2,8800,4,1
3,16.0,1,1,2,5300,4,1
2,8.0,0,0,2,1800,4,0
3,8.0,1,1,0,10000,4,2
3,8.0,1,1,2,5500,4,1
5,8.0,1,1,2,3600,4,1
4,8.0,1,1,2,2050,0,1
2,16.0,1,2,0,4950,4,2
3,4.0,0,0,0,8000,4,0
4,8.0,1,1,2,2600,4,1
3,8.0,0,1,2,2000,4,0
3,16.0,1,1,2,5400,4,1
4,12.0,1,2,0,10500,4,2
3,8.0,1,1,2,4500,4,1
4,16.0,1,1,2,3800,4,1
4,8.0,1,2,2,2800,4,1
3,16.0,1,1,2,3300,4,1
3,8.0,1,1,0,17000,4,2
2,16.0,1,2,2,5500,4,1
1,16.0,1,2,0,13999,4,2
3,8.0,1,1,2,1750,6,1
3,16.0,1,1,2,6500,4,1
2,8.0,1,2,2,3500,4,1
3,8.0,0,0,0,1900,4,0
5,4.0,1,1,2,3000,4,1
3,8.0,1,1,2,4500,4,1
4,8.0,0,1,2,2000,4,0
1,16.0,1,2,2,4999,4,1
5,16.0,1,1,2,13900,4,1
5,8.0,1,1,2,7200,4,1
3,8.0,1,1,2,6500,4,1
3,8.0,0,1,2,2800,4,0
1,16.0,1,1,0,5899,4,2
3,16.0,1,2,2,5000,0,1
3,8.0,1,0,0,5500,4,2
3,8.0,1,1,2,2700,0,1
2,8.0,1,1,2,2800,4,1
2,8.0,1,1,2,2000,4,1
2,8.0,1,1,2,5550,4,1
3,16.0,0,1,2,2700,4,0
3,16.0,1,2,2,10000,4,1
4,8.0,1,1,2,3900,0,1
2,8.0,1,2,0,12688,4,2
2,8.0,1,1,2,4200,4,1
3,8.0,0,1,2,3200,4,0
4,8.0,1,2,0,2400,0,2
3,8.0,1,1,1,3750,4,1
1,16.0,1,1,0,9000,4,2
5,8.0,1,2,2,4200,4,1
3,16.0,1,1,2,5800,4,1
5,8.0,1,1,2,8000,4,1
4,8.0,1,1,2,4200,3,1
3,8.0,1,1,2,2950,4,1
3,16.0,1,2,2,7500,4,1
3,16.0,1,2,2,4690,4,1
4,8.0,0,1,2,2450,0,0
3,8.0,0,0,2,1950,4,0
3,8.0,1,1,2,2800,4,1
3,4.0,0,0,2,1750,4,0
2,16.0,1,2,1,4500,4,1
4,8.0,1,1,2,4800,0,1
3,4.0,0,0,2,1690,1,0
2,8.0,0,0,2,2300,4,0
2,8.0,0,1,2,950,0,0
1,8.0,0,1,2,1850,4,0
3,8.0,0,1,2,2300,4,0
5,8.0,1,1,2,9200,4,1
2,32.0,1,2,2,14000,4,2
2,8.0,0,2,0,9800,4,2
3,16.0,1,2,2,6500,4,1
1,8.0,0,1,0,1900,0,0
1,8.0,0,2,2,2000,3,0
3,16.0,1,1,2,5500,0,1
2,24.0,1,2,2,7580,4,1
2,6.0,0,0,2,1550,4,0
3,16.0,1,1,2,3850,4,1
3,8.0,0,1,2,2600,6,0
3,8.0,1,1,2,4200,0,1
4,8.0,0,0,2,1599,0,0
3,16.0,1,2,0,7300,4,2
5,8.0,1,1,2,5200,4,1
5,4.0,1,1,2,2150,0,1
4,8.0,1,0,2,2350,4,1
3,8.0,1,1,0,8200,0,2
4,8.0,1,1,2,3100,4,1
3,4.0,0,0,2,2599,4,0
2,8.0,0,0,0,5550,4,0
3,8.0,0,2,2,1350,4,0
2,8.0,1,1,2,2700,4,1
2,4.0,0,0,2,1700,4,0
4,12.0,1,2,2,10000,4,1
3,8.0,1,1,2,2850,0,1
1,4.0,0,0,2,1500,4,0
0,12.0,0,1,1,3050,4,0
2,4.0,0,1,0,1000,0,0
3,8.0,1,1,0,10600,4,2
5,8.0,0,2,2,2400,4,0
2,16.0,1,2,0,14500,4,2
0,8.0,1,1,2,4400,4,1
3,4.0,0,1,2,1950,6,0
3,12.0,1,0,2,3500,4,1
5,6.0,0,2,2,1500,4,0
5,16.0,1,2,2,12500,4,1
2,8.0,1,1,2,2350,4,1
2,8.0,1,1,0,8000,4,2
5,8.0,1,1,2,7000,4,1
5,16.0,1,2,2,4700,4,1
4,8.0,1,2,2,3300,4,1
2,8.0,0,2,2,8600,4,0
3,16.0,1,2,2,5500,4,1
5,8.0,0,1,2,2450,4,0
3,8.0,1,0,2,2600,4,1
2,8.0,1,1,1,2200,0,1
4,8.0,1,1,2,3500,4,1
4,8.0,1,1,1,2600,4,1
3,12.0,0,1,1,3800,4,0
2,8.0,1,1,2,2000,4,1
3,16.0,1,1,0,15000,4,2
5,8.0,1,1,2,6150,4,1
2,4.0,0,0,2,1400,0,0
3,8.0,0,1,2,2800,4,0
3,16.0,1,2,2,4000,0,1
5,4.0,0,1,2,2600,4,0
0,16.0,1,1,0,7950,4,2
1,16.0,0,2,2,4000,4,0
4,32.0,1,2,0,8399,4,2
5,16.0,1,2,2,8500,4,1
2,8.0,1,2,2,3400,4,1
5,8.0,0,1,2,2650,4,0
3,8.0,1,1,0,8800,4,2
0,8.0,0,2,2,2450,4,0
2,8.0,0,0,2,2400,0,0
3,8.0,1,2,0,6000,4,2
3,8.0,0,0,2,1500,4,0
3,16.0,1,1,2,4900,4,1
3,8.0,1,1,2,3750,4,1
3,8.0,1,1,2,5000,4,1
3,8.0,1,1,0,4850,0,2
4,4.0,1,0,2,2250,4,1
2,16.0,1,2,2,4650,4,1
3,8.0,1,1,2,3150,4,1
3,8.0,1,1,0,4000,0,2
4,8.0,1,0,2,2900,4,1
3,4.0,0,0,0,6800,4,0
2,8.0,1,1,2,3000,0,1
2,8.0,0,1,2,2300,4,0
1,8.0,0,1,2,2100,0,0
2,8.0,0,2,2,2600,1,0
2,8.0,1,2,2,8550,4,1
2,12.0,1,1,2,2500,4,1
3,4.0,1,1,2,4500,4,1
3,8.0,1,1,2,3500,4,1
4,8.0,0,2,0,2550,0,0
2,8.0,0,1,2,2600,4,0
3,8.0,1,2,2,4000,4,1
4,8.0,0,1,2,1650,4,0
2,16.0,1,1,2,5100,4,1
3,16.0,1,1,0,9000,4,2
3,8.0,1,1,0,10740,4,2
2,8.0,1,2,2,4500,4,1
5,8.0,1,1,2,3800,4,1
3,8.0,1,1,2,8500,1,1
2,8.0,1,1,2,3250,2,1
3,8.0,1,1,0,11500,4,2
0,8.0,1,0,2,3500,0,0
3,16.0,1,2,2,7500,4,1
4,8.0,0,1,0,6800,4,2
3,8.0,1,1,2,3500,4,1
1,8.0,1,1,2,1800,0,1
2,8.0,1,1,0,9500,4,2
0,16.0,1,1,2,9500,0,1
3,8.0,1,2,2,6700,0,1
3,8.0,1,0,2,2599,2,1
3,8.0,1,1,2,4500,4,1
3,16.0,1,2,2,12000,4,1
5,4.0,0,1,2,2500,4,0
3,8.0,1,1,2,3200,6,1
1,4.0,0,0,2,1500,4,0
2,4.0,0,1,2,1750,4,0
3,8.0,1,1,2,2300,4,1
4,32.0,1,2,2,6200,4,1
3,16.0,1,2,2,4450,4,1
3,8.0,1,2,2,5700,4,1
2,8.0,1,1,0,6000,4,2
2,16.0,1,1,0,10000,4,2
3,16.0,1,2,0,9500,4,2
3,8.0,0,0,2,1500,4,0
3,8.0,1,0,0,4950,4,2
2,16.0,1,2,1,5000,4,1
4,16.0,1,2,2,4000,4,1
3,18.0,1,2,2,2300,4,1
2,8.0,1,2,0,4900,4,2
4,8.0,1,1,2,3299,2,1
2,16.0,1,1,0,8400,4,2
3,8.0,1,0,0,2500,2,2
3,8.0,1,1,2,4200,4,1
3,16.0,1,2,0,14000,4,2
1,8.0,0,1,2,2150,1,0
3,8.0,1,1,2,5899,4,1
5,16.0,1,1,2,5600,4,1
3,16.0,0,2,2,3200,4,0
0,6.0,0,1,2,1850,4,0
4,8.0,1,1,2,3200,4,1
2,32.0,1,2,2,8500,4,1
2,8.0,1,1,2,2300,4,1
0,24.0,1,1,2,9800,4,2
3,8.0,0,1,2,3250,4,0
3,8.0,1,1,2,4200,4,1
2,4.0,0,1,2,1700,4,0
4,8.0,1,1,0,4800,0,2
3,8.0,1,1,0,12500,4,2
3,8.0,1,1,0,10800,4,2
3,8.0,1,1,2,5000,4,1
5,16.0,1,2,2,3500,0,1
2,8.0,1,2,2,3150,4,1
4,8.0,1,1,2,3200,4,1
2,16.0,0,2,2,2650,4,0
4,8.0,0,1,2,2000,4,0
3,8.0,1,1,2,5000,4,1
