Laptop Brand,RAM_GB,Storage,Extracted Processor,Conditions,Prices,Regions
Lenovo,16.0,SSD,I5,Brand New,5800,Greater Accra
HP,8.0,HDD,I7,Used,2450,Greater Accra
HP,16.0,SSD,I7,Brand New,13500,Greater Accra
HP,16.0,SSD,I7,Used,7800,Greater Accra
Asus,8.0,SSD,I5,Used,3700,Greater Accra
HP,8.0,HDD,I5,Used,1950,Greater Accra
Lenovo,12.0,SSD,I5,Brand New,7399,Greater Accra
Dell,8.0,SSD,I5,Used,4200,Ashanti
Lenovo,8.0,SSD,I3,Used,1400,Greater Accra
Dell,8.0,SSD,I5,Used,7000,Ashanti
HP,8.0,HDD,I5,Used,2500,Greater Accra
Lenovo,12.0,SSD,I5,Used,3100,Greater Accra
HP,8.0,SSD,I5,Used,6000,Greater Accra
Lenovo,8.0,SSD,I5,Unknown,1600,Greater Accra
HP,4.0,HDD,I3,Used,1600,Greater Accra
Dell,8.0,SSD,I5,Used,3500,Greater Accra
HP,8.0,SSD,I5,Used,7950,Greater Accra
Asus,8.0,SSD,I5,Used,4200,Greater Accra
HP,12.0,SSD,I5,Used,1800,Greater Accra
Lenovo,8.0,HDD,I3,Used,1500,Greater Accra
MacBook,8.0,SSD,I5,Used,7999,Greater Accra
HP,16.0,SSD,I5,Used,5300,Greater Accra
Dell,8.0,SSD,I3,Used,4300,Greater Accra
HP,8.0,SSD,I5,Used,5499,Greater Accra
HP,16.0,SSD,I5,Brand New,6700,Ashanti
Dell,4.0,HDD,I3,Used,1800,Greater Accra
Lenovo,8.0,SSD,I5,Used,3900,Greater Accra
HP,8.0,SSD,I5,Unknown,3900,Ashanti
Dell,8.0,SSD,I7,Used,2800,Ashanti
Dell,16.0,SSD,I7,Used,5200,Greater Accra
HP,8.0,HDD,I5,Used,4500,Greater Accra
Dell,16.0,SSD,I7,Used,6200,Greater Accra
Dell,16.0,SSD,I7,Used,8500,Greater Accra
HP,8.0,SSD,I5,Used,4300,Greater Accra
HP,8.0,HDD,I5,Used,2600,Greater Accra
Dell,8.0,HDD,I5,Used,1250,Greater Accra
HP,8.0,HDD,I5,Used,1950,Ashanti
Dell,32.0,SSD,I7,Used,8800,Greater Accra
Dell,8.0,HDD,I7,Used,2500,Greater Accra
Lenovo,8.0,SSD,I5,Brand New,6999,Western Region
HP,16.0,SSD,I7,Brand New,14000,Greater Accra
MacBook,8.0,HDD,I7,Used,2000,Greater Accra
HP,16.0,SSD,I7,Used,6350,Greater Accra
Dell,16.0,SSD,I5,Used,3600,Greater Accra
HP,4.0,SSD,I5,Used,1500,Greater Accra
HP,8.0,SSD,I5,Used,3000,Central Region
HP,16.0,SSD,I7,Brand New,17500,Greater Accra
Lenovo,8.0,HDD,I5,Used,1400,Greater Accra
Lenovo,8.0,SSD,I5,Used,2700,Greater Accra
